job,start_time,end_time,elapse,state,ip
mapping,59:18.6,59:48.4,29,COMPLETE,14.12.62.57
mapping,59:18.8,59:48.4,29,COMPLETE,14.12.23.212
mapping,59:19.0,59:49.9,30,COMPLETE,14.12.27.165
mapping,59:19.2,59:50.2,30,COMPLETE,14.12.63.20
mapping,59:19.4,59:48.6,29,COMPLETE,14.12.52.86
mapping,59:19.4,59:50.0,30,COMPLETE,14.12.24.146
mapping,59:19.4,59:49.7,30,COMPLETE,14.12.62.136
mapping,59:19.9,59:49.2,29,COMPLETE,14.12.62.147
mapping,59:19.8,59:48.3,28,COMPLETE,14.12.26.250
mapping,59:20.0,59:48.0,27,COMPLETE,14.12.23.69
mapping,59:20.4,59:48.5,28,COMPLETE,14.12.56.86
mapping,59:20.4,59:49.0,28,COMPLETE,14.12.52.172
mapping,59:20.6,59:47.9,27,COMPLETE,14.12.52.217
mapping,59:20.7,59:48.1,27,COMPLETE,14.12.50.61
mapping,59:21.4,59:48.0,26,COMPLETE,14.12.31.74
mapping,59:21.8,59:49.6,27,COMPLETE,14.12.62.107
mapping,59:22.3,59:50.1,27,COMPLETE,14.12.58.132
mapping,59:22.8,59:49.7,26,COMPLETE,14.12.29.156
mapping,59:23.0,59:49.8,26,COMPLETE,14.12.50.133
mapping,58:21.4,59:50.3,88,COMPLETE,14.12.57.109
mapping,58:56.5,59:51.2,54,COMPLETE,14.12.58.116
mapping,58:57.4,59:50.3,52,COMPLETE,14.12.27.21
mapping,59:19.0,59:50.9,31,COMPLETE,14.12.50.48
mapping,59:19.1,59:50.9,31,COMPLETE,14.12.54.178
mapping,59:19.6,59:51.0,31,COMPLETE,14.12.30.72
mapping,59:21.8,59:51.3,29,COMPLETE,14.12.51.56
mapping,59:27.2,59:51.9,24,COMPLETE,14.12.29.56
mapping,59:25.7,59:53.1,27,COMPLETE,14.12.21.114
mapping,59:26.0,59:53.0,26,COMPLETE,14.12.23.193
mapping,58:21.6,59:56.0,94,COMPLETE,14.12.21.252
mapping,58:21.5,59:56.2,94,COMPLETE,14.12.62.194
mapping,58:21.6,59:59.4,97,COMPLETE,14.12.16.31
mapping,59:31.5,59:57.9,26,COMPLETE,14.12.31.84
mapping,59:31.8,59:58.6,26,COMPLETE,14.12.20.70
mapping,58:21.5,00:01.1,99,COMPLETE,14.12.48.62
mapping,59:32.5,00:00.2,27,COMPLETE,14.12.56.41
mapping,59:32.5,00:00.6,28,COMPLETE,14.12.58.146
mapping,59:33.1,00:01.7,28,COMPLETE,14.12.57.32
mapping,59:33.1,00:01.5,28,COMPLETE,14.12.54.148
mapping,59:33.2,00:00.3,27,COMPLETE,14.12.53.71
mapping,59:33.6,59:59.7,26,COMPLETE,14.12.48.223
mapping,59:33.8,00:02.1,28,COMPLETE,14.12.22.60
mapping,59:34.0,00:02.1,28,COMPLETE,14.12.56.136
mapping,59:34.2,00:02.0,27,COMPLETE,14.12.23.88
mapping,58:21.5,00:03.4,101,COMPLETE,14.12.19.119
mapping,59:33.5,00:02.9,29,COMPLETE,14.12.50.99
mapping,59:33.9,00:02.9,29,COMPLETE,14.12.53.149
mapping,59:33.8,00:04.0,30,COMPLETE,14.12.63.96
mapping,59:34.0,00:03.8,29,COMPLETE,14.12.55.164
mapping,59:34.4,00:03.4,29,COMPLETE,14.12.22.203
mapping,59:34.5,00:03.2,28,COMPLETE,14.12.58.106
mapping,59:34.7,00:03.0,28,COMPLETE,14.12.49.186
mapping,59:34.7,00:03.6,28,COMPLETE,14.12.53.84
mapping,59:34.9,00:03.1,28,COMPLETE,14.12.49.189
mapping,59:35.3,00:03.6,28,COMPLETE,14.12.63.45
mapping,59:35.5,00:03.1,27,COMPLETE,14.12.57.190
mapping,59:35.3,00:02.8,27,COMPLETE,14.12.55.151
mapping,59:35.8,00:04.2,28,COMPLETE,14.12.31.134
mapping,59:36.1,00:04.5,28,COMPLETE,14.12.48.195
mapping,59:34.8,00:04.7,29,COMPLETE,14.12.48.59
mapping,59:35.2,00:04.6,29,COMPLETE,14.12.51.52
mapping,59:35.9,00:05.0,29,COMPLETE,14.12.61.103
mapping,59:35.8,00:04.9,29,COMPLETE,14.12.59.5
mapping,59:35.7,00:05.2,29,COMPLETE,14.12.60.147
mapping,59:36.1,00:04.8,28,COMPLETE,14.12.29.206
mapping,59:35.9,00:04.4,28,COMPLETE,14.12.48.170
mapping,59:36.1,00:05.4,29,COMPLETE,14.12.26.11
mapping,59:36.5,00:04.6,28,COMPLETE,14.12.57.78
mapping,59:36.7,00:06.0,29,COMPLETE,14.12.16.140
mapping,59:36.7,00:05.9,29,COMPLETE,14.12.51.243
mapping,59:36.7,00:06.0,29,COMPLETE,14.12.62.39
mapping,59:36.5,00:05.8,29,COMPLETE,14.12.48.13
mapping,59:36.6,00:06.1,29,COMPLETE,14.12.58.133
mapping,59:37.3,00:06.1,28,COMPLETE,14.12.60.177
mapping,59:37.2,00:06.4,29,COMPLETE,14.12.49.111
